Country,Name,url
Germany,Sami Khedira,/player/179846/sami-khedira/
Spain,Sergio Asenjo,/player/178750/sergio-asenjo/
Spain,Javi Martínez,/player/177610/javi-mart%C3%ADnez/
France,Dimitri Payet,/player/177388/dimitri-payet/
Brazil,Jonas,/player/176769/jonas/
Italy,Claudio Marchisio,/player/173210/claudio-marchisio/
Brazil,Naldo,/player/171919/naldo/
France,Stéphane Ruffier,/player/167628/st%C3%A9phane-ruffier/
Belgium,Moussa Dembélé,/player/162240/moussa-demb%C3%A9l%C3%A9/
Argentina,Alejandro Gómez,/player/143076/alejandro-g%C3%B3mez/
Italy,Andrea Barzagli,/player/137186/andrea-barzagli/
Spain,Aduriz,/player/106231/aduriz/
Czech Republic,Petr Čech,/player/48940/petr-%C4%8Dech/
France,Ousmane Dembélé,/player/231443/ousmane-demb%C3%A9l%C3%A9/
Brazil,Gabriel Jesus,/player/230666/gabriel-jesus/
Serbia,Sergej Milinković-Savić,/player/223848/sergej-milinkovi%C4%87-savi%C4%87/
Guinea,Naby Keïta,/player/220971/naby-ke%C3%AFta/
Uruguay,José María Giménez,/player/216460/jos%C3%A9-mar%C3%ADa-gim%C3%A9nez/
France,Thomas Lemar,/player/213565/thomas-lemar/
France,Aymeric Laporte,/player/212218/aymeric-laporte/
Germany,Timo Werner,/player/212188/timo-werner/
France,Anthony Martial,/player/211300/anthony-martial/
Germany,Leon Goretzka,/player/209658/leon-goretzka/
Netherlands,Quincy Promes,/player/208808/quincy-promes/
Portugal,William Carvalho,/player/207566/william-carvalho/
France,Florian Thauvin,/player/204970/florian-thauvin/
Portugal,Danilo Pereira,/player/200888/danilo-pereira/
Spain,Vitolo,/player/199715/vitolo/
Portugal,Pizzi,/player/197965/pizzi/
Germany,Oliver Baumann,/player/193698/oliver-baumann/
Colombia,Juan Cuadrado,/player/193082/juan-cuadrado/
Germany,Mario Götze,/player/192318/mario-g%C3%B6tze/
Germany,Shkodran Mustafi,/player/192227/shkodran-mustafi/
Spain,Ander Herrera,/player/191740/ander-herrera/
Argentina,Javier Pastore,/player/191180/javier-pastore/
Finland,Lukáš Hrádecký,/player/190941/luk%C3%A1%C5%A1-hr%C3%A1deck%C3%BD/
Netherlands,Kevin Strootman,/player/189712/kevin-strootman/
Spain,Pedro,/player/189505/pedro/
Japan,Shinji Kagawa,/player/189358/shinji-kagawa/
Netherlands,Bas Dost,/player/189068/bas-dost/
Brazil,Oscar,/player/188152/oscar/
Brazil,Paulinho,/player/187961/paulinho/
France,Steven N'Zonzi,/player/187936/steven-nzonzi/
Italy,Mario Balotelli,/player/186627/mario-balotelli/
Wales,Aaron Ramsey,/player/186561/aaron-ramsey/
Spain,José Callejón,/player/185020/jos%C3%A9-callej%C3%B3n/
Brazil,Giuliano,/player/184942/giuliano/
Croatia,Mario Mandžukić,/player/181783/mario-mand%C5%BEuki%C4%87/
Argentina,Federico Fazio,/player/179847/federico-fazio/
Germany,Benedikt Höwedes,/player/179784/benedikt-h%C3%B6wedes/
Germany,Ralf Fährmann,/player/179783/ralf-f%C3%A4hrmann/
Argentina,Éver Banega,/player/178562/%C3%A9ver-banega/
Spain,Juan Mata,/player/178088/juan-mata/
