Name,url
Alexandre Lacazette,/player/193301/alexandre-lacazette/
Henrikh Mkhitaryan,/player/192883/henrikh-mkhitaryan/
Iago Aspas,/player/192629/iago-aspas/
Danijel Subašić,/player/192593/danijel-suba%C5%A1i%C4%87/
Kamil Glik,/player/190547/kamil-glik/
Douglas Costa,/player/190483/douglas-costa/
Parejo,/player/189513/parejo/
Kyle Walker,/player/188377/kyle-walker/
Wojciech Szczęsny,/player/186153/wojciech-szcz%C4%99sny/
Yacine Brahimi,/player/184267/yacine-brahimi/
Ángel Di María,/player/183898/%C3%A1ngel-di-mar%C3%ADa/
Willian,/player/180403/willian/
David Luiz,/player/179944/david-luiz/
Sami Khedira,/player/179846/sami-khedira/
Sergio Asenjo,/player/178750/sergio-asenjo/
